gpt-3.5-turbo-0125-P1	3	3	4	4	3	4	4	4	4	4	4	4	4	4	3	4	3	4											
gpt-3.5-turbo-0125-P2	4	4	5	4	4	4	4	4	4	4	4	4	4	4	3	4	4	4	4	5	5	4	4	4					
gpt-3.5-turbo-0125-P3	3	2	4	4	4	4	4	3	4	4	2	4	3	4	3	4	2	3	3	4	4	4	2	3	1	3	3		
gpt-3.5-turbo-0125-P5	3	4	4	4	4	4	4	4	4	4	3	4	4	3	4	4	4	4	4	4	4	4	4	4	4				
gpt-3.5-turbo-0125-P6	3	4	4	4	3	4	4	4	4	4	5	4	2	3	3	3	3	3	4	4	3	3	3	4	4	3			
gpt-3.5-turbo-0125-P7	3	4	4	4	4	4	4	5	4	4	4	4	4	4	4	4	4	4	4	3	4	4	4	4	3	4	1		
gpt-3.5-turbo-0125-P9	4	4	3	4	4	4	4	3	4	3	2	3	4	3	3	4	2	4	4	4	3	3	4	4	4	4			
gpt-3.5-turbo-0125-P10	3	4	4	4	4	4	4	4	4	4	4	4	4	3	4	4	4	4	4	4	4								
gpt-3.5-turbo-0125-P11	4	4	4	4	4	4	4	4	5	4	4	4	4	4	3	4	4	4	4	4	4	4	4	4	4	4	3		
gpt-3.5-turbo-0125-P13	3	4	4	4	4	4	4	4	4	4	4	4	4	5	2	4	4	4	4	3	4	4	4	4	2	3			
gpt-3.5-turbo-0125-P15	4	4	4	4	4	4	4	4	4	4	5	3	4	4	4	4	4	4	1	5	4	4	4	4	4	3			
gpt-3.5-turbo-0125-P16	3	4	4	3	4	5	5	4	4	4	4	5	4	3	4	4	4	4	4	4	4	2							
gpt-3.5-turbo-0125-P17	3	4	4	4	2	4	4	3	4	4	4	4	4	4	4	4	4	4	5	5									
gpt-3.5-turbo-0125-P18	4	4	4	4	4	4	4	4	4	3	3	3	2	2	3	3	3	3	4	4	3	4							
gpt-3.5-turbo-0125-P19	3	2	3	4	4	4	4	3	4	4	4	4	4	4	4	4	5	5	4	2	3	5	4						
gpt-3.5-turbo-0125-P21	3	4	4	4	2	4	4	4	3	4	4	4																	
gpt-3.5-turbo-0125-P22	4	3	4	1	4	4	3	3	2	3	4	4	4	4	4	4	5	1	4	2	3	5	4	4	4				
gpt-3.5-turbo-0125-P23	4	4	4	3	4	4	4	4	4	4	4	4	5	3	4	4	4	4	4	4	4	4							
gpt-3.5-turbo-0125-P25	3	4	4	4	4	4	3	4	4	4	4	5	4	3	4	4	3	4	3	4	5	5	5	4	3	4	4		
gpt-3.5-turbo-0125-P27	4	4	4	4	4	4	4	4	4	4	4	4	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
gpt-3.5-turbo-0125-P28	3	4	4	4	3	4	3	3	4	4	4	4	4	4															
gpt-3.5-turbo-0125-P29	4	4	4	4	4	3	5	4	4	4	3	3	4	4	4	4	4	5	5	3	4	4	4	4	4	4	3		
gpt-3.5-turbo-0125-P30	3	4	4	4	4	4	3	4	4	3	4	4	4	3	3	4	4	4	1	1	4	4	4	4	3	3			
gpt-3.5-turbo-0125-P31	3	3	4	4	3	4	4	4	4	4	4	3	3	4	4	3	3	4	4	4	4	4	3	4					
gpt-3.5-turbo-0125-P32	3	1	3	4	4	4	4	4	2	4	2	3	4	4	4	3	4	4	4	4	3	4	4	4					
